index,summarization,keywords
0,北京精神病人被用束缚带绑床上，遭病友掐死；法院认定医院管理不当、值班护士失职，构成医疗事故罪。,医院 护士 死亡 医疗事故 病人 家属 巡视 被害人 按规定 上诉
1,世界卫生组织发布报告称，在过去10年，自杀取代难产死亡，成为全球年轻女性死亡的最主要原因,自杀 女性 全球 原因 死因 报告 指出 难产 死亡 报道
2,温州瑞安重度烧伤孕妇已有清晰意识，急需A型血小板；5月9日其煮夜宵时发生爆燃，已收捐款超600万。,芙蓉 事故 已有 爆炸 血小板 燃气 调查组 通知 烧伤 厨房
3,据雅虎体育，莫里斯-威廉姆斯与骑士达成协议，将与詹皇重聚，他将签下2年430万美元的合同,骑士 球员 体育 消息人士 报道 签约 选择 最终 包括 特上
4,天津：5月31日起外地人买房不再送户口，取消蓝印户口政策，以“积分落户”取代。,户口 蓝印 政策 户籍 孩子 落户 高考 投资 楼市 末班车
5,温州：男子半月内两次被炒鱿鱼 连砸30多辆车泄愤(图),工作 砸车 大道 派出所 找到 下楼来 泄愤 动静 领导 巡逻队
6,外交部称经过核实，索马里酒店爆炸致中国使馆武警1死3伤；去年10月起中国大使馆复馆后在此办公。,酒店 局势 组织 外媒 撤离 袭击 快讯 京报 政府 武装
7,摩根士丹利国际首席执行官称，希腊最多达成暂时性协议，依然存在资本管制的风险，不会达成长期协议。,依然 协议 达成 欧元 时称 裂痕 感到 形势 量化 现金
8,河南截获1900支人体胎盘提取液，全部来自日本；伪装成酵素通关，可能携带艾滋病、乙肝等病原体(图),人体 胎盘 病原体 检疫局 邮件 组织 检验 酵素 针剂 物品
9,牡丹江：东宁县大肚川镇发生森林火灾，截至15日15时消防部门仍在扑救。,部门 森林 消息 原因 引发 初步 烧菌袋 判定 农民 消防
10,网爆河北一男孩在烈士陵园做出不雅动作，踢倒一块墓碑。网友怒斥：有辱烈士！(图),网友 革命烈士 烈士陵园 动作 孩子 基础教育 爆料 男孩 墓碑 做出
11,网友晒“福州花开四季图” 被赞为“赏花攻略”（图）,网友 公园 羊蹄甲 樱花 寂寞 中心 拆迁 盛放 串串 城门
12,网曝刘翔葛天离婚内幕，系女方假孕骗婚，男方家人发现真相非常愤怒；因两人皆公众人物才一直未离婚(图),网友 离婚 新闻 夫妻 新婚 身为 不合 公众 外界 怀孕
13,国防部回应中国军机赴钓鱼岛空域：系正常巡逻,巡逻 日方 官员 飞行员 应对 飞机 军机 报道 声称 和平
14,北京市发布霾黄色预警：预计7日白天到夜间，本市大部分地区仍有轻度～中度霾，能见度较低，请注意防范...,减少 防范 大于 条件 人群 小于 持续 能见度 明显降低 人员
15,常州市发布大雾橙色预警：金坛、溧阳已经出现能见度小于200米的浓雾并将持续，预计未来6小时内常州地区可能出现能见...,单位 能见度 预警 发布 浓雾 控制车 行进 防雾 高速公路 标准
16,承德市发布道路结冰黄色预警：预计未来12小时我市大部分区县将出现对交通有影响的道路结冰现象。请有关单位和人员做好...,做好 交通 结冰 道路 路况 驾驶人员 预警 外出 自行车 标准
17,九江修水县情侣为骗保火烧流浪汉：情侣买10万保险后，将智障流浪汉带上车，伪造车辆自燃，致其重度烧伤。,男子 民警 发现 自燃 车辆 来到 女子 现场 烧伤 马坳
18,公安县男子与江陵县男子生产300多吨伪劣农药，因经济纠纷找警察评理，均被刑拘。,生产 农药 民警 伪劣 纠纷 发现 合伙 名称 出库 单上
19,释永信将率团赴泰展演少林功夫，举报者称其或潜逃；被开除弟子释延鲁否认是“释正义”，曾是释永信身边红人，普京女儿拜其为师。,记者 少林 方丈 举报 公司 部门 弟子 正义 少林功夫 网络
