index,summarization,keywords
0,北京精神病人被用束缚带绑床上，遭病友掐死；法院认定医院管理不当、值班护士失职，构成医疗事故罪。,杨 小罗 医院 士 病人 护 医疗 被害人 巡视 死亡
1,世界卫生组织发布报告称，在过去10年，自杀取代难产死亡，成为全球年轻女性死亡的最主要原因,报告 女性 原因 死 自杀 人 全球 5 年龄 难产
2,温州瑞安重度烧伤孕妇已有清晰意识，急需A型血小板；5月9日其煮夜宵时发生爆燃，已收捐款超600万。,芙蓉 王 已 事故 爆炸 时 血 安 烧伤 厨房
3,据雅虎体育，莫里斯-威廉姆斯与骑士达成协议，将与詹皇重聚，他将签下2年430万美元的合同,骑士 威廉姆斯 兰 分 新 特 体育 均 克里夫 德拉
4,天津：5月31日起外地人买房不再送户口，取消蓝印户口政策，以“积分落户”取代。,印 户口 蓝 天津 年 户籍 政策 市 孩子 落户
5,温州：男子半月内两次被炒鱿鱼 连砸30多辆车泄愤(图),月 孙 温州 砸 3 辆 大道 蒲州 30 次
6,外交部称经过核实，索马里酒店爆炸致中国使馆武警1死3伤；去年10月起中国大使馆复馆后在此办公。,索马里 大使馆 中国 酒店 后 爆炸 月 组织 武警 外
7,摩根士丹利国际首席执行官称，希腊最多达成暂时性协议，依然存在资本管制的风险，不会达成长期协议。,希腊 协议 欧盟 达成 称 欧元 很 欧洲 国际 Kelleher
8,河南截获1900支人体胎盘提取液，全部来自日本；伪装成酵素通关，可能携带艾滋病、乙肝等病原体(图),邮件 检验 人体 素 批 盘 注射 检疫 胎 月
9,牡丹江：东宁县大肚川镇发生森林火灾，截至15日15时消防部门仍在扑救。,日 15 部门 森林 时 农民 烧菌 扑 人 大肚川
10,网爆河北一男孩在烈士陵园做出不雅动作，踢倒一块墓碑。网友怒斥：有辱烈士！(图),烈士 网 烈士陵园 革命 墓碑 河北 不 友 做出 雅
11,网友晒“福州花开四季图” 被赞为“赏花攻略”（图）,花 公园 福州 月 日 友 里 上 图 微
12,网曝刘翔葛天离婚内幕，系女方假孕骗婚，男方家人发现真相非常愤怒；因两人皆公众人物才一直未离婚(图),翔 葛天 刘 人 新婚 娱乐 夫妻 不 博 微
13,国防部回应中国军机赴钓鱼岛空域：系正常巡逻,中国 日方 巡逻 日本 钓鱼岛 军机 地区 日 月 中方
14,北京市发布霾黄色预警：预计7日白天到夜间，本市大部分地区仍有轻度～中度霾，能见度较低，请注意防范...,小于 预计 能见度 减少 日 等于 立方米 发布 微克 霾
15,常州市发布大雾橙色预警：金坛、溧阳已经出现能见度小于200米的浓雾并将持续，预计未来6小时内常州地区可能出现能见...,单位 发布 日 小于 能见度 小时 200 6 车 控制
16,承德市发布道路结冰黄色预警：预计未来12小时我市大部分区县将出现对交通有影响的道路结冰现象。请有关单位和人员做好...,道路 12 结冰 交通 发布 做好 日 人员 当路 小时
17,九江修水县情侣为骗保火烧流浪汉：情侣买10万保险后，将智障流浪汉带上车，伪造车辆自燃，致其重度烧伤。,陈某 人 民警 郭 两 后 面包车 女子 男子 月
18,公安县男子与江陵县男子生产300多吨伪劣农药，因经济纠纷找警察评理，均被刑拘。,生产 民警 农药 两 王某 男子 月 人 合伙 伪劣
19,释永信将率团赴泰展演少林功夫，举报者称其或潜逃；被开除弟子释延鲁否认是“释正义”，曾是释永信身边红人，普京女儿拜其为师。,释 少林寺 信 延鲁 少林 永 正义 方 人 报
